# source_sha256	87f5c391b0fc722bdaa0fdca468f160bccf1becaa2f81cec052c481b7c98f195
# scope	m1n1 pcie_init_controller(APCIE, /arm-io/apcie0), T6040 controller/shared-PHY prefix
# semantics	WRITE replaces the full value; RMW is (old & ~mask) | value; SET is old | mask; CLEAR is old & ~mask
sequence	phase	source	address	size	operation	mask	value
282	phy	apcie-phy-ip-auspma-tunables	0x004170490d8	4	RMW	0x00003fff	0x0000068d
283	phy	apcie-phy-ip-auspma-tunables	0x004170490dc	4	RMW	0x00003fff	0x00000408
284	phy	apcie-phy-ip-auspma-tunables	0x004170491e0	4	RMW	0x00000008	0x00000008
285	phy	apcie-phy-ip-auspma-tunables	0x00417049280	4	RMW	0x00f00000	0x00c00000
286	phy	apcie-phy-ip-auspma-tunables	0x00417049280	4	RMW	0x00ff000f	0x00c80001
287	phy	apcie-phy-ip-auspma-tunables	0x00417049288	4	RMW	0x00000003	0x00000003
288	phy	apcie-phy-ip-auspma-tunables	0x0041704928c	4	RMW	0x00000003	0x00000003
289	phy	apcie-phy-ip-auspma-tunables	0x00417051000	4	RMW	0x40000000	0x00000000
290	phy	apcie-phy-ip-auspma-tunables	0x00417051008	4	RMW	0x00000010	0x00000000
291	phy	apcie-phy-ip-auspma-tunables	0x0041705103c	4	RMW	0x01800000	0x01800000
292	phy	apcie-phy-ip-auspma-tunables	0x004170510d8	4	RMW	0x00003fff	0x0000068d
293	phy	apcie-phy-ip-auspma-tunables	0x004170510dc	4	RMW	0x00003fff	0x00000408
294	phy	apcie-phy-ip-auspma-tunables	0x004170511e0	4	RMW	0x00000008	0x00000008
295	phy	apcie-phy-ip-auspma-tunables	0x00417051280	4	RMW	0x00f00000	0x00c00000
296	phy	apcie-phy-ip-auspma-tunables	0x00417051280	4	RMW	0x00ff000f	0x00c8000c
297	phy	apcie-phy-ip-auspma-tunables	0x00417051288	4	RMW	0x00000003	0x00000003
298	phy	apcie-phy-ip-auspma-tunables	0x0041705128c	4	RMW	0x00000003	0x00000003
299	phy	apcie-phy-ip-auspma-tunables	0x00417059000	4	RMW	0x40000000	0x00000000
300	phy	apcie-phy-ip-auspma-tunables	0x00417059008	4	RMW	0x00000010	0x00000000
301	phy	apcie-phy-ip-auspma-tunables	0x0041705903c	4	RMW	0x01800000	0x01800000
302	phy	apcie-phy-ip-auspma-tunables	0x004170590d8	4	RMW	0x00003fff	0x0000068d
303	phy	apcie-phy-ip-auspma-tunables	0x004170590dc	4	RMW	0x00003fff	0x00000408
304	phy	apcie-phy-ip-auspma-tunables	0x004170591e0	4	RMW	0x00000008	0x00000008
305	phy	apcie-phy-ip-auspma-tunables	0x00417059280	4	RMW	0x00f00000	0x00c00000
306	phy	apcie-phy-ip-auspma-tunables	0x00417059288	4	RMW	0x00000003	0x00000003
307	phy	apcie-phy-ip-auspma-tunables	0x00417061000	4	RMW	0x40000000	0x00000000
308	phy	apcie-phy-ip-auspma-tunables	0x00417061008	4	RMW	0x00000010	0x00000000
309	phy	apcie-phy-ip-auspma-tunables	0x0041706103c	4	RMW	0x01800000	0x01800000
310	phy	apcie-phy-ip-auspma-tunables	0x004170610d8	4	RMW	0x00003fff	0x0000068d
311	phy	apcie-phy-ip-auspma-tunables	0x004170610dc	4	RMW	0x00003fff	0x00000408
312	phy	apcie-phy-ip-auspma-tunables	0x004170611e0	4	RMW	0x00000008	0x00000008
313	phy	apcie-phy-ip-auspma-tunables	0x00417061280	4	RMW	0x00f00000	0x00c00000
314	phy	apcie-phy-ip-auspma-tunables	0x00417061288	4	RMW	0x00000003	0x00000003
315	phy	apcie-phy-ip-auspma-tunables	0x0041704d008	4	RMW	0x0000000c	0x0000000c
316	phy	apcie-phy-ip-auspma-tunables	0x0041704d014	4	RMW	0x00007efc	0x00000408
317	phy	apcie-phy-ip-auspma-tunables	0x00417055008	4	RMW	0x0000000c	0x0000000c
318	phy	apcie-phy-ip-auspma-tunables	0x00417055014	4	RMW	0x00007efc	0x00000408
319	phy	apcie-phy-ip-auspma-tunables	0x0041705d008	4	RMW	0x0000000c	0x0000000c
320	phy	apcie-phy-ip-auspma-tunables	0x0041705d014	4	RMW	0x00007efc	0x00000408
321	phy	apcie-phy-ip-auspma-tunables	0x00417065008	4	RMW	0x0000000c	0x0000000c
322	phy	apcie-phy-ip-auspma-tunables	0x00417065014	4	RMW	0x00007efc	0x00000408
323	phy	apcie-phy-ip-auspma-tunables	0x0041704c01c	4	RMW	0x000000e0	0x000000a0
324	phy	apcie-phy-ip-auspma-tunables	0x0041704c080	4	RMW	0x60000000	0x40000000
325	phy	apcie-phy-ip-auspma-tunables	0x0041704c08c	4	RMW	0x003f0000	0x003e0000
326	phy	apcie-phy-ip-auspma-tunables	0x0041704c0a0	4	RMW	0x01f80000	0x00380000
327	phy	apcie-phy-ip-auspma-tunables	0x0041704c0ec	4	RMW	0x00000001	0x00000000
328	phy	apcie-phy-ip-auspma-tunables	0x0041705401c	4	RMW	0x000000e0	0x000000a0
329	phy	apcie-phy-ip-auspma-tunables	0x00417054080	4	RMW	0x60000000	0x40000000
330	phy	apcie-phy-ip-auspma-tunables	0x0041705408c	4	RMW	0x003f0000	0x003e0000
331	phy	apcie-phy-ip-auspma-tunables	0x004170540a0	4	RMW	0x01f80000	0x00380000
332	phy	apcie-phy-ip-auspma-tunables	0x004170540ec	4	RMW	0x00000001	0x00000000
333	phy	apcie-phy-ip-auspma-tunables	0x0041705c01c	4	RMW	0x000000e0	0x000000a0
334	phy	apcie-phy-ip-auspma-tunables	0x0041705c080	4	RMW	0x60000000	0x40000000
335	phy	apcie-phy-ip-auspma-tunables	0x0041705c08c	4	RMW	0x003f0000	0x003e0000
336	phy	apcie-phy-ip-auspma-tunables	0x0041705c0a0	4	RMW	0x01f80000	0x00380000
337	phy	apcie-phy-ip-auspma-tunables	0x0041705c0ec	4	RMW	0x00000001	0x00000000
338	phy	apcie-phy-ip-auspma-tunables	0x0041706401c	4	RMW	0x000000e0	0x000000a0
339	phy	apcie-phy-ip-auspma-tunables	0x00417064080	4	RMW	0x60000000	0x40000000
340	phy	apcie-phy-ip-auspma-tunables	0x0041706408c	4	RMW	0x003f0000	0x003e0000
341	phy	apcie-phy-ip-auspma-tunables	0x004170640a0	4	RMW	0x01f80000	0x00380000
342	phy	apcie-phy-ip-auspma-tunables	0x004170640ec	4	RMW	0x00000001	0x00000000
343	phy	apcie-phy-ip-auspma-tunables	0x0041704e404	4	RMW	0x40000000	0x40000000
344	phy	apcie-phy-ip-auspma-tunables	0x00417056404	4	RMW	0x40000000	0x40000000
345	phy	apcie-phy-ip-auspma-tunables	0x0041705e404	4	RMW	0x40000000	0x40000000
346	phy	apcie-phy-ip-auspma-tunables	0x00417066404	4	RMW	0x40000000	0x40000000
347	phy	T8122 post-tunable control	0x00417008004	4	SET	0x00000010	0x00000010
348	phy	PHYCMN clock mode	0x00417004000	4	RMW	0x00000003	0x00000001
349	phy	T8122 PHY control	0x00417008000	4	SET	0x00000200	0x00000200
350	phy	RC init	0x00414000054	4	WRITE	0xffffffff	0x00000140
351	phy	RC init	0x00414000050	4	WRITE	0xffffffff	0x00000001
